ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
MG;SARZEDO;28077;VEREADOR;RAQUEL FERREIRA DE OLIVEIRA;RAQUEL OLIVER;PRTB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
AM;RIO PRETO DA EVA;10444;VEREADOR;MARIA DO PERPETUO SOCORRO DOS SANTOS ARAÚJO;ARQUITETA SOL ARAÚJO;REPUBLICANOS;FEMININO;SUPERIOR COMPLETO;PARDA
BA;CONCEIÇÃO DO JACUÍPE;70122;VEREADOR;EMERSON SANTOS SILVA;EMERSON DO BESSA;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
PR;SANTO ANTÔNIO DA PLATINA;44500;VEREADOR;SANDRA PEREIRA DA COSTA;SANDRINHA SALÃO;UNIÃO;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
GO;CORUMBÁ DE GOIÁS;40777;VEREADOR;CLEYTON FERNANDES DE OLIVEIRA;CLEYTINHO DA TEIXEIRA;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
GO;CORUMBAÍBA;12345;VEREADOR;JORGE ELIAS PEREIRA DE ALMEIDA;JORGE ELIAS TERÇO DOS HOMENS;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;TIMÓTEO;23500;VEREADOR;GABRIELE DOS REIS SILVA;GABRIELE REIS;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
PE;ÁGUAS BELAS;13555;VEREADOR;JAYANNE GAMA BEZERRA;JAYANNE ENFERMEIRA;PT;FEMININO;SUPERIOR COMPLETO;BRANCA
PE;RECIFE;22;PREFEITO;GILSON MACHADO GUIMARÃES NETO;GILSON MACHADO;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
MG;FRANCISCO DUMONT;70111;VEREADOR;EUCLIDES NUNES AZEVEDO FILHO;EUCLIDES AZEVEDO;AVANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
BA;SOBRADINHO;55556;VEREADOR;EDSON CARDOSO DOS SANTOS;CACHOEIRA DO BOLO;PSD;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
AL;INHAPI;12123;VEREADOR;WELLINGTON SILVA MENESES FREIRE;DICO DE ORLANDO;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;CONTAGEM;77033;VEREADOR;MARCOS RODRIGUES GOMES;PASTOR MARCOS;SOLIDARIEDADE;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;AREIAS;10123;VEREADOR;EDSON REZENDE RODRIGUES;EDINHO DA VAN;REPUBLICANOS;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;JUIZ DE FORA;40256;VEREADOR;RENATO FERNANDES DA SILVA;RENATO CHINELINHO;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
CE;MARANGUAPE;12369;VEREADOR;OSVALDO LIMA DE ABREU NETO;OSVALDO ABREU;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;PENÁPOLIS;15321;VEREADOR;GILBERTO DE ALMEIDA RODRIGUES;GIBA FRETES;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
PE;TAMANDARÉ;55678;VEREADOR;ALBERTO MENDES DA LUZ;ALBERTO DE SAUÉ;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MG;NANUQUE;45123;VEREADOR;BRUNA GOMES PEREIRA;BRUNA GOMES;PSDB;FEMININO;SUPERIOR INCOMPLETO;PARDA
SP;POTIM;12489;VEREADOR;REGINA CELIA TOMAZ REIS;REGINA REIS;PDT;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
AL;LAGOA DA CANOA;11333;VEREADOR;LUCIVÂNIA FERREIRA LIMA;LUCIVÂNIA LIMA;PP;FEMININO;SUPERIOR COMPLETO;PRETA
SC;CAPÃO ALTO;44123;VEREADOR;MILTON CESAR DE OLIVEIRA;MILTON;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
PB;SÃO SEBASTIÃO DE LAGOA DE ROÇA;45690;VEREADOR;JOSÉ VENÂNCIO;ZÉ DE MANÚ;PSDB;MASCULINO;LÊ E ESCREVE;PARDA
PR;TUNEIRAS DO OESTE;25222;VEREADOR;ORLANDO MARTINS BOTELHO;ORLANDO DA FARMACIA;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
PE;LAJEDO;40222;VEREADOR;MARIA ADRIANA DE SOUZA;ADRIANA DO POÇO;PSB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;HELIODORA;55133;VEREADOR;VALDIR BUENO DE SOUZA;VALDIR BUENO;PSD;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
RN;SERRA NEGRA DO NORTE;13333;VEREADOR;ERALDO ALVES DE ARAÚJO;ERALDO;PT;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MS;SONORA;20888;VEREADOR;EDIMILSON FERNANDES DE OLIVEIRA;EDIMILSON FERNADES;PODE;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MG;IPATINGA;15155;VEREADOR;PATRICIA GONCALVES DE FARIA;PATRICIA FARIA;MDB;FEMININO;SUPERIOR INCOMPLETO;BRANCA
